OBJECTID,Name,Text_ID,cable_id,length,ReadyForServiceDate,owners,url,Shape__Length
156,Botnia,botnia,1271,93 km,1994,Telia Carrier, ,265338.451301664
157,BT-MT-1,bt-mt-1,1752,80 km,1990,"BT,  Manx Telecom", ,359281.248834789
158,CADMOS,cadmos,1305,230 km,September 1995,"Cyta,  Lebanese Ministry of Telecommunications,  AT&T,  BT,  Orange,  Telekom Austria,  Syrian Telecommunications Establishment,  Telecom Italia Sparkle,  Tata Communications,  Deutsche Telekom", ,244025.94610781
159,CAM Ring,cam-ring,1800,"1,120 km",2003,Portugal Telecom, ,1752440.23718536
160,Canalink,canalink,1666,"1,835 km",2011,IT3,http://canalink.iter.es/,2530752.73446202
161,CANTAT-3,cantat-3,1737,"2,500 km",November 1994,Faroese Telecom,http://www.ft.fo,4612073.40804947
162,Caribbean-Bermuda U.S. (CBUS),caribbean-bermuda-u-s-cbus,1634,"1,600 km",October 2009,C&W Networks,http://www.cwnetworks.com/,1720851.78729239
163,Caucasus Cable System,caucasus-cable-system,1563,"1,200 km",November 2008,Caucasus Online,http://www.co.ge/en/,1515077.34993977
164,Cayman-Jamaica Fiber System,cayman-jamaica-fiber-system,1068,870 km,June 1997,C&W Networks,http://www.cwnetworks.com/,640396.191600806
165,Ceiba-2,ceiba-2,1842,290 km,2017,"Ministerio de Transportes,  Tecnologia,  Correos y Telecomunicaciones", ,339298.609220012
166,Ceiba-1,ceiba-1,1699,287 km,June 2011,"Ministerio de Transportes,  Tecnologia,  Correos y Telecomunicaciones", ,279153.971401971
167,CeltixConnect,celtixconnect,1641,136 km,January 2012,Aqua Comms,http://www.aquacomms.com,180667.021731523
168,Challenger Bermuda-1 (CB-1),challenger-bermuda-1-cb-1,1596,"1,448 km",December 2008,Cable Co.,http://cableco.bm,1694972.06480208
169,Columbus-II b,columbus-ii-b,1643,"2,068 km",December 1994,n.a., ,2366847.13301018
170,Columbus-III,columbus-iii,1046,"9,833 km",December 1999,"Telecom Italia Sparkle,  AT&T,  Verizon,  Telxius,  Portugal Telecom,  Tata Communications,  Ukrtelecom,  Telkom South Africa,  Telecom Argentina,  Instituto Costarricense de Electricidad,  Embratel,  Cyta", ,11490542.0954299
171,Comoros Domestic Cable System,comoros-domestic-cable-system,1803,n.a.,2010,Comores Telecom, ,258391.622904273
172,Corse-Continent 4 (CC4),corse-continent-4-cc4,1427,190 km,1992,Orange, ,257575.037216545
173,Corse-Continent 5 (CC5),corse-continent-5-cc5,1428,299 km,1995,Orange, ,385770.224831091
174,Danica North,danica-north,1541,25 km,1998,Telia Carrier, ,46687.3399853159
175,DANICE,danice,1568,"2,304 km",August 2009,Icelandic Shareholders,http://www.farice.is,4422903.98935741
176,Denmark-Norway 5,denmark-norway-5,1326,130 km,1992,"TDC,  Telenor", ,251488.863265742
177,Denmark-Norway 6,denmark-norway-6,1327,120 km,1992,"TDC,  Telenor", ,268465.173624078
178,Denmark-Poland 2,denmark-poland-2,1262,110 km,1991,"Orange Polska,  TDC,  Telia Carrier,  Telenor", ,200302.2334777
179,Denmark-Sweden 15,denmark-sweden-15,1259,5 km,1989,"TDC,  Telia Carrier", ,11833.987556279
180,Denmark-Sweden 16,denmark-sweden-16,1261,15 km,1991,TDC, ,84420.2782473835
181,Denmark-Sweden 17,denmark-sweden-17,1730,11 km,1994,"TDC,  Tele2", ,13263.8869825357
182,Denmark-Sweden 18,denmark-sweden-18,1731,n.a.,1996,"Telenor,  TDC", ,11833.987556279
183,Dhiraagu Cable Network,dhiraagu-cable-network,1746,"1,253 km",April 2012,Dhiraagu,http://www.dhiraagu.com.mv,880730.347758458
184,Dhiraagu-SLT Submarine Cable Network,dhiraagu-slt-submarine-cable-network,1369,850 km,February 2007,"Sri Lanka Telecom,  Dhiraagu",http://www.dhiraagu.com.mv,777056.879137287
185,East-West,east-west,1671,"1,750 km",February 2011,C&W Networks,http://www.cwnetworks.com/,1549281.52778465
186,Eastern Caribbean Fiber System (ECFS),eastern-caribbean-fiber-system-ecfs,1290,"1,730 km",September 1995,"Orange,  AT&T,  BT,  Verizon,  Sprint,  Guyana Telephone and Telegraph (GT&T),  Codetel,  C&W Networks", ,1614408.9788195
187,ECLink,eclink,1532,987 km,October 2007,C&W Networks,http://www.cwnetworks.com/,866094.059080693
188,Elektra-GlobalConnect 1 (GC1),elektra-globalconnect-1-gc1,1759,44 km,August 2000,GlobalConnect,http://www.globalconnect.dk,101151.398149732
189,Emerald Bridge Fibres,emerald-bridge-fibres,1684,120 km,December 2012,"Zayo Group,  ESB Telecoms",http://www.emeraldbridgefibres.com,201680.793483642
190,AEC-1,aec-1,1691,"5,536 km",January 2016,Aqua Comms,http://www.aquacomms.com,7704004.63842936
191,ESAT-2,esat-2,1224,245 km,2000,Esat BT,http://www.esat.net,366289.088600065
192,Estepona-Tetouan,estepona-tetouan,1251,113 km,July 1994,"Telxius,  Maroc Telecom", ,127224.017371253
193,FARICE-1,farice-1,1240,"1,205 km",January 2004,Icelandic Shareholders,http://www.farice.is,2685316.24856333
194,Fehmarn Bält,fehmarn-blt,1336,20 km,2000,Telia Carrier, ,35938.0787674612
195,Fiber Optic Gulf (FOG),fiber-optic-gulf-fog,1209,"1,300 km",June 1998,"Kuwait Ministry of Communications,  Etisalat,  Ooredoo,  Batelco", ,1347110.64829484
196,Fibralink,fibralink,1361,"1,000 km",March 2006,C&W Networks,http://www.cwnetworks.com/,1098036.72164517
197,Finland-Estonia 2 (EESF-2),finland-estonia-2-eesf-2,1263,98 km,1992,"Elion,  Telia Carrier", ,184623.628596301
198,FLAG Atlantic-1 (FA-1),flag-atlantic-1-fa-1,1028,"14,500 km",June 2001,Global Cloud Xchange,http://www.globalcloudxchange.com,16163050.1316902
199,FLAG North Asia Loop/REACH North Asia Loop,flag-north-asia-loopreach-north-asia-loop,1150,"9,504 km",June 2001,"Global Cloud Xchange,  PCCW,  Telstra", ,9507824.77408421
200,Flores-Corvo Cable System,flores-corvo-cable-system,1782,685 km,January 2014,Viatel,http://www.viatel.pt,739460.658019133
201,Gemini Bermuda,gemini-bermuda,1551,"1,287 km",October 2007,C&W Networks,http://www.cwnetworks.com,1735137.56916698
202,Geo-Eirgrid,geo-eirgrid,1685,187 km,December 2012,Eirgrid,http://www.geo-uk.net,385892.258037478
203,Georgia-Russia,georgia-russia,1192,433 km,December 2000,"Rostelecom,  FOPTNET,  DanTelco",http://www.georgia-russia.com,631307.379137709
204,Germany-Denmark 2,germany-denmark-2,1200,60 km,December 1995,TDC, ,89337.1266457327
205,Germany-Denmark 3,germany-denmark-3,1764,n.a.,March 2000,TDC, ,80605.8543893517
206,Glo-1,glo-1,1357,"9,800 km",October 2010,Globacom Limited,http://www.gloworld.com,9469290.83845951
207,Southern Caribbean Fiber,southern-caribbean-fiber,1619,n.a.,September 2006,Digicel,http://southern-caribbean.com,2080479.48262307
208,Southern Caribbean Fiber,southern-caribbean-fiber,1619,n.a.,September 2006,Digicel,http://southern-caribbean.com,643957.931733076
209,GlobalConnect 2 (GC2),globalconnect-2-gc2,1760,95 km,August 2001,GlobalConnect,http://www.globalconnect.dk,183252.19666862
210,GlobalConnect 3 (GC3),globalconnect-3-gc3,1761,19 km,2006,GlobalConnect,http://www.globalconnect.dk,38941.4349872382
211,GlobalConnect-KPN,globalconnect-kpn,1762,43 km,2006,GlobalConnect,http://www.globalconnect.dk,113646.303861575
212,GlobeNet,globenet,1076,"23,500 km",October 2000,BTG Pactual,http://www.globenet.net,22662453.5507493
213,GlobeNet,globenet,1076,"23,500 km",October 2000,BTG Pactual,http://www.globenet.net,948365.22977748
214,GO-1 Mediterranean Cable System,go-1-mediterranean-cable-system,1581,290 km,December 2008,GO plc,https://www.go.com.mt/business,323832.684952192
215,Gondwana-1,gondwana-1,1514,"2,151 km",September 2008,OPT,http://telecom.opt.nc,2260538.21093166
216,OTEGLOBE Kokkini-Bari,oteglobe-kokkini-bari,1383,700 km,June 2004,OTEGLOBE,http://www.oteglobe.gr,868579.936380589
217,Greenland Connect North,greenland-connect-north,1897,680 km,December 2017,TELE Greenland,http://www.tele.gl,1577898.69311655
218,Greenland Connect,greenland-connect,1569,"4,780 km",March 2009,TELE Greenland,http://www.tele.gl,8458880.63986429
219,Guam Okinawa Kyushu Incheon (GOKI),guam-okinawa-kyushu-incheon-goki,1692,"4,244 km",December 2013,AT&T,http://www.att.com,3775627.70572196
220,Guernsey-Jersey-4,guernsey-jersey-4,1702,36 km,Janaury 1994,Sure, ,49731.9655120289
221,Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System,gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system,1598,n.a.,February 2012,"Gulf Bridge International,  Airtel (Bharti)",http://www.gbiinc.com,5381113.78908613
222,HANTRU1 Cable System,hantru1-cable-system,1605,"2,917 km",March 2010,"Hannon Armstrong,  Federated States of Micronesia Telecommunications Company,  Marshall Islands Telecommunications Authority", ,3343417.60768751
223,Hawaiki,hawaiki,1733,"14,000 km",June 2018,Hawaiki Cable Company,http://hawaikicable.co.nz,16086222.506137
224,Hawk,hawk,1523,"3,400 km",2011,Global Cloud Xchange,http://www.globalcloudxchange.com,4138320.78968469
225,GTT Atlantic,gtt-atlantic,1080,"12,200 km",April 2001,GTT,http://www.gtt.net,15607939.3195813
226,GTT Express,gtt-express,1673,"4,600 km",September 2015,GTT,http://www.gtt.net,7110179.30437108
227,High-capacity Undersea Guernsey Optical-fibre (HUGO),high-capacity-undersea-guernsey-optical-fibre-hugo,1697,425 km,2007,"Sure,  Vodafone", ,537082.26003891
228,Hokkaido-Sakhalin Cable System (HSCS),hokkaido-sakhalin-cable-system-hscs,1528,570 km,July 2008,"NTT,  TTK", ,569011.79429254
229,Honotua,honotua,1556,"4,805 km",September 2010,OPT French Polynesia,http://www.opt.pf,4669086.18815436
230,i2i Cable Network (i2icn),i2i-cable-network-i2icn,1179,"3,200 km",April 2002,Airtel (Bharti),http://www.airtel.in,2996082.99016016
231,INGRID,ingrid,1700,64 km,October 2004,CIEG, ,92865.4371445563
232,Interchange Cable Network 1 (ICN1),interchange-cable-network-1-icn1,1682,"1,259 km",January 2014,Interchange,http://www.interchange.vu,1162154.02290627
233,IP-Only Denmark-Sweden,ip-only-denmark-sweden,1765,n.a.,1994,IP-Only, ,68717.7537060465
234,Italy-Albania,italy-albania,1296,240 km,1997,"Telecom Italia Sparkle,  Albania Telecom", ,290255.638053287
235,Italy-Croatia,italy-croatia,1286,230 km,1994,"Telecom Italia Sparkle,  T-Hrvatski Telekom", ,162401.019735384
236,Italy-Greece 1,italy-greece-1,1299,169 km,1995,WIS Telecom,http://www.wis.one,178015.1070103
237,Italy-Libya,italy-libya,1287,570 km,1998,"Telecom Italia Sparkle,  Libya International Telecommunications Company", ,655728.390294577
238,Italy-Monaco,italy-monaco,1302,162 km,1995,"Telecom Italia Sparkle,  Monaco Telecom", ,172828.223191595
239,JaKa2LaDeMa,jaka2ladema,1767,"1,700 km",2010,Telkom Indonesia, ,1592623.59855695
240,JAKABARE,jakabare,1597,"1,330 km",November 2009,PT Indonesia Satellite Corp.,http://www.indosat.com,1376030.85875204
241,Janna,janna,1729,634 km,April 2005,"Regione Sardegne,  Interoute,  Wind Italy,  Tiscali", ,772772.099956488
242,Japan-U.S. Cable Network (JUS),japan-u-s-cable-network-jus,1010,"22,682 km",September 2001,"Verizon,  AT&T,  BT,  Sprint,  CenturyLink,  KDDI,  NTT,  Chunghwa Telecom,  Tata Communications,  SingTel,  Telekom Malaysia,  Softbank Telecom,  Orange,  SK Broadband,  KT,  China Telecom,  China Unicom,  LG Uplus,  HKBN Enterprise Solutions,  Starhub,", ,24614369.2522751
243,Jerry Newton,jerry-newton,1774,n.a.,October 2007,C&W Networks, ,68266.0969465731
244,Jonah,jonah,1677,"2,297 km",January 2012,Bezeq International Ltd.,http://www.bezeqint.net/english,2531227.83063351
245,Kattegat 1,kattegat-1,1218,180 km,August 1995,"TDC,  Telia Carrier,  Tata Communications,  BT", ,177371.580622964
246,Kattegat 2,kattegat-2,1688,75 km,2001,TDC, ,261587.053446415
247,Kodiak Kenai Fiber Link (KKFL),kodiak-kenai-fiber-link-kkfl,1530,966 km,January 2007,GCI,http://www.alaskaunited.com,1941823.74446405
248,Korea-Japan Cable Network (KJCN),korea-japan-cable-network-kjcn,1231,500 km,March 2002,"QTNet,  KT,  Softbank Telecom,  NTT", ,559747.794322095
249,Kuwait-Iran,kuwait-iran,1250,380 km,June 2005,"Telecommunication Infrastructure Company of Iran,  Kuwait Ministry of Communications", ,369428.271182986
250,Lanis-1,lanis-1,1616,113 km,1992,Vodafone, ,182267.916738245
251,Lanis-2,lanis-2,1751,67 km,1992,Vodafone, ,109758.975135558
252,Latvia-Sweden 1 (LV-SE 1),latvia-sweden-1-lv-se-1,1270,304 km,1994,"Telia Carrier,  Tele2,  Lattelecom,  Telecom Italia Sparkle", ,531911.552208651
253,Lev Submarine System,lev-submarine-system,1065,"2,600 km",March 1999,Telecom Italia Sparkle,http://mediterranean.tisparkle.com,3004307.33592851
254,LFON (Libyan Fiber Optic Network),lfon-libyan-fiber-optic-network,1184,"1,639 km",1999,"Libyan Post,  Telecommunications and Information Technology Company (LPTIC Holding)", ,1928263.27557369
255,Libreville-Port Gentil Cable,libreville-port-gentil-cable,1747,198 km,April 2012,Republic of Gabon, ,165600.371138819
256,Lower Indian Ocean Network (LION),lower-indian-ocean-network-lion,1594,"1,060 km",November 2009,"Orange,  Mauritius Telecom,  Orange Madagascar",http://www.orange.com/,1035687.56842078
257,Lower Indian Ocean Network 2 (LION2),lower-indian-ocean-network-2-lion2,1667,"2,700 km",April 2012,"Orange,  Mauritius Telecom,  Orange Madagascar,  Telkom Kenya,  Société Réunionnaise du Radiotéléphone,  Emtel,  STOI", ,2662911.92086288
258,MainOne,mainone,1565,"7,000 km",July 2010,Main One Cable Company,http://www.mainonecable.com,7669225.2569247
259,Malaysia-Cambodia-Thailand (MCT) Cable,malaysia-cambodia-thailand-mct-cable,1776,"1,300 km",March 2017,"Telekom Malaysia,  Ezecom,  Symphony,  DTAC", ,1355338.67421573
260,Mariana-Guam Cable,mariana-guam-cable,1757,n.a.,1997,IT&E, ,215014.253848415
261,Mataram Kupang Cable System (MKCS),mataram-kupang-cable-system-mkcs,1780,"1,318 km",April 2011,Telkom Indonesia, ,1131476.52825711
262,Matrix Cable System,matrix-cable-system,1535,"1,055 km",August 2008,Matrix Networks Pte. Ltd.,http://www.matrixnetworks.sg,1202297.34292045
263,Maya-1,maya-1,1071,"4,400 km",October 2000,"Verizon,  AT&T,  Sprint,  Hondutel,  Telefonica,  Orbitel,  Telecom Italia Sparkle,  C&W Networks,  Embratel,  ETB,  Axtel,  Instituto Costarricense de Electricidad,  BICS,  Prepa Networks,  Orange,  Tricom,  RSL Telecom,  América Móvil", ,4504797.44852272
264,Med Cable Network,med-cable-network,1366,"1,300 km",October 2005,Orascom Telecom Holding, ,1974267.04031991
265,Melita 1,melita-1,1602,97 km,June 2009,Melita,http://www.melita.com,121524.287053336
266,Mid-Atlantic Crossing (MAC),mid-atlantic-crossing-mac,1070,"7,500 km",June 2000,CenturyLink,http://www.centurylink.com/wholesale/,7761794.77119585
267,Moratelindo International Cable System-1 (MIC-1),moratelindo-international-cable-system-1-mic-1,1561,70 km,January 2008,Moratelindo,http://www.moratelindo.co.id,28492.3405384486
268,Tampnet Offshore FOC Network,tampnet-offshore-foc-network,1203,"1,751 km",July 1999,Tampnet,http://www.tampnet.com/,3224737.13664105
269,NorthStar,northstar,1166,"3,229 km",October 1999,Alaska Communications Systems Group,https://www.alaskacommunications.com,5288416.72757631
270,Oran-Valencia (ORVAL),oran-valencia-orval,1664,"1,160 km",2018,Algerie Telecom,https://www.algerietelecom.dz/siteweb.php,948546.366104965
271,Pacific Caribbean Cable System (PCCS),pacific-caribbean-cable-system-pccs,1727,"6,000 km",September 2015,"C&W Networks,  Telconet,  Setar,  United Telecommunication Services (UTS),  Telxius", ,6658190.43814991
272,Pacific Crossing-1 (PC-1),pacific-crossing-1-pc-1,1007,"20,900 km",December 1999,NTT,http://www.pc1.com,27123280.9311891
273,Palawa-Iloilo Cable System,palawa-iloilo-cable-system,1796,300 km,January 2014,PLDT, ,282203.427951581
274,Pan American (PAN-AM),pan-american-pan-am,1073,"7,225 km",February 1999,"AT&T,  Telefonica del Peru,  Softbank Telecom,  Telecom Italia Sparkle,  Sprint,  CANTV,  Tata Communications,  Telefónica de Argentina,  Telstra,  Verizon,  Entel Chile,  Telecom Argentina,  Telconet,  Instituto Costarricense de Electricidad,  C&W Netw", ,7166256.09947193
275,Pan-American Crossing (PAC),pan-american-crossing-pac,1072,"10,000 km",March 2000,CenturyLink,http://www.centurylink.com/wholesale/,7105243.10300932
276,PENBAL-5,penbal-5,1187,309 km,1994,Telefonica, ,408069.102064349
277,Pencan-8,pencan-8,1701,"1,400 km",2011,Telefonica, ,1627831.65705901
278,Persona,persona,1577,800 km,2008,EastLink, ,562830.818856777
279,Picot-1,picot-1,1802,n.a.,2008,OPT,http://telecom.opt.nc,261549.906222891
280,PIPE Pacific Cable-1 (PPC-1),pipe-pacific-cable-1-ppc-1,1520,"6,900 km",October 2009,TPG,http://www.pipenetworks.com/ppc1.php,6397329.78274565
281,POSEIDON,poseidon,1740,800 km,April 2014,Radius Oceanic Communications,http://www.radiusocean.com,166281.640176862
282,Qatar-U.A.E. Submarine Cable System,qatar-u-a-e-submarine-cable-system,1254,100 km,December 2004,"Etisalat,  Ooredoo", ,384598.837483601
283,FOS Quellon-Chacabuco,fos-quellon-chacabuco,1805,350 km,January 2015,Gtd Teleductos S.A.,http://www.telsur.com,445952.085720057
284,Russia-Japan Cable Network (RJCN),russia-japan-cable-network-rjcn,1518,"1,800 km",September 2008,"Rostelecom,  KDDI", ,2048113.39989145
285,IOX Cable System,iox-cable-system,1901,"8,850 km",Q4 2019,IOX Cable Limited,http://www.iox.mu,8997751.24558164
286,SAFE,safe,1220,"13,500 km",April 2002,"Orange,  Telekom Malaysia,  Telkom South Africa,  Tata Communications,  AT&T,  BT,  Camtel,  Angola Telecom,  Ghana Telecommunications Company,  Mauritius Telecom,  Verizon,  NATCOM (Nigeria),  OPT,  Telefonica,  BICS,  China Telecom,  Chunghwa Telecom,", ,13611216.30284
287,Saint Maarten Puerto Rico Network One (SMPR-1),saint-maarten-puerto-rico-network-one-smpr-1,1245,375 km,December 2004,"TelEm Group,  Dauphin Telecom", ,372973.787598205
288,Samoa-American Samoa (SAS),samoa-american-samoa-sas,1620,250 km,May 2009,"American Samoa Government,  Elandia", ,129610.821914412
289,SAT-3/WASC,sat-3wasc,1219,"14,350 km",April 2002,"Telkom South Africa,  Tata Communications,  AT&T,  BT,  Camtel,  Angola Telecom,  Ghana Telecommunications Company,  Mauritius Telecom,  Verizon,  NATCOM (Nigeria),  OPT,  BICS,  Sprint,  SingTel,  KPN,  Orange,  Telecom Italia Sparkle,  Telecom Namibia,", ,8320778.16529873
290,SAT-3/WASC,sat-3wasc,1219,"14,350 km",April 2002,"Telkom South Africa,  Tata Communications,  AT&T,  BT,  Camtel,  Angola Telecom,  Ghana Telecommunications Company,  Mauritius Telecom,  Verizon,  NATCOM (Nigeria),  OPT,  BICS,  Sprint,  SingTel,  KPN,  Orange,  Telecom Italia Sparkle,  Telecom Namibia,", ,6999629.80776134
291,Scandinavian Ring North,scandinavian-ring-north,1544,5 km,2000,Telia Carrier, ,32756.7907329067
292,Scandinavian Ring South,scandinavian-ring-south,1545,21 km,2000,Telia Carrier, ,59272.2817171193
293,Scotland-Northern Ireland 1,scotland-northern-ireland-1,1387,35 km,1989,BT, ,65590.6458028371
294,Seabras-1,seabras-1,1728,"10,800 km",September 2017,Seaborn Group,http://www.seabornnetworks.com,11440853.8052684
295,Seychelles to East Africa System (SEAS),seychelles-to-east-africa-system-seas,1672,"1,930 km",August 2012,Seychelles Cable System Ltd., ,1821557.6643935
296,SHEFA-2,shefa-2,1576,"1,000 km",March 2008,Faroese Telecom,http://www.shefa.fo,1614204.21548447
297,Silphium,silphium,1665,425 km,January 2013,Libya International Telecommunications Company,http://www.litc.ly,471654.241246207
298,Sirius South,sirius-south,1092,219 km,1999,Virgin Media Business, ,367639.024415038
299,Sirius North,sirius-north,1754,147 km,1999,Virgin Media Business, ,226584.103430118
300,South America Pacific Link (SAPL),south-america-pacific-link-sapl,1791,"17,600 km",Q3 2020,Ocean Networks,http://www.oceannetworks.com,18321832.1381237
301,South America-1 (SAm-1),south-america-1-sam-1,1083,"25,000 km",March 2001,Telxius,http://www.telxius.com/,24144060.6783363
302,South America-1 (SAm-1),south-america-1-sam-1,1083,"25,000 km",March 2001,Telxius,http://www.telxius.com/,109810.342558367
303,South American Crossing (SAC)/Latin American Nautilus (LAN),south-american-crossing-saclatin-american-nautilus-lan,1084,"20,000 km",September 2000,"Telecom Italia Sparkle,  CenturyLink",http://www.centurylink.com/wholesale/,19373956.6606002
304,South Atlantic Cable System (SACS),south-atlantic-cable-system-sacs,1709,"6,165 km",Q3 2018,Angola Cables,http://www.angolacables.co.ao,5872360.62653293
305,Southern Cross Cable Network (SCCN),southern-cross-cable-network-sccn,1009,"30,500 km",November 2000,"Spark New Zealand,  SingTel Optus,  Verizon",http://www.southerncrosscables.com,29679785.6375997
306,St. Thomas-St. Croix System,st-thomas-st-croix-system,1756,183 km,July 2013,"Virgin Islands Next Generation Networks,  Inc.",http://www.vingn.com,205692.012300644
307,Subcan Link 1,subcan-link-1,1777,143 km,May 2002,Cable Submarine de Canarias, ,198646.686452167
308,Subcan Link 2,subcan-link-2,1778,136 km,May 2002,Cable Submarine de Canarias, ,235504.797136577
